ward,typology,avg_rent_ksh,median_rent_ksh
Airbase,studio,24000.0,22800.0
Airbase,one bedroom,32000.0,30400.0
Airbase,two bedroom,46400.0,44080.0
Airbase,three bedroom,67200.0,63840.0
Airbase,townhouse,102400.0,97280.0
Airbase,bungalow,121600.0,115520.0
Babadogo,studio,24000.0,22800.0
Babadogo,one bedroom,32000.0,30400.0
Babadogo,two bedroom,46400.0,44080.0
Babadogo,three bedroom,67200.0,63840.0
Babadogo,townhouse,102400.0,97280.0
Babadogo,bungalow,121600.0,115520.0
California,studio,24000.0,22800.0
California,one bedroom,32000.0,30400.0
California,two bedroom,46400.0,44080.0
California,three bedroom,67200.0,63840.0
California,townhouse,102400.0,97280.0
California,bungalow,121600.0,115520.0
Claycity,studio,24000.0,22800.0
Claycity,one bedroom,32000.0,30400.0
Claycity,two bedroom,46400.0,44080.0
Claycity,three bedroom,67200.0,63840.0
Claycity,townhouse,102400.0,97280.0
Claycity,bungalow,121600.0,115520.0
Dandora Area I,studio,24000.0,22800.0
Dandora Area I,one bedroom,32000.0,30400.0
Dandora Area I,two bedroom,46400.0,44080.0
Dandora Area I,three bedroom,67200.0,63840.0
Dandora Area I,townhouse,102400.0,97280.0
Dandora Area I,bungalow,121600.0,115520.0
Dandora Area Ii,studio,24000.0,22800.0
Dandora Area Ii,one bedroom,32000.0,30400.0
Dandora Area Ii,two bedroom,46400.0,44080.0
Dandora Area Ii,three bedroom,67200.0,63840.0
Dandora Area Ii,townhouse,102400.0,97280.0
Dandora Area Ii,bungalow,121600.0,115520.0
Dandora Area Iii,studio,24000.0,22800.0
Dandora Area Iii,one bedroom,32000.0,30400.0
Dandora Area Iii,two bedroom,46400.0,44080.0
Dandora Area Iii,three bedroom,67200.0,63840.0
Dandora Area Iii,townhouse,102400.0,97280.0
Dandora Area Iii,bungalow,121600.0,115520.0
Dandora Area Iv,studio,24000.0,22800.0
Dandora Area Iv,one bedroom,32000.0,30400.0
Dandora Area Iv,two bedroom,46400.0,44080.0
Dandora Area Iv,three bedroom,67200.0,63840.0
Dandora Area Iv,townhouse,102400.0,97280.0
Dandora Area Iv,bungalow,121600.0,115520.0
Eastleigh North,studio,31500.0,29925.0
Eastleigh North,one bedroom,42000.0,39900.0
Eastleigh North,two bedroom,60900.0,57855.0
Eastleigh North,three bedroom,88200.0,83790.0
Eastleigh North,townhouse,134400.0,127680.0
Eastleigh North,bungalow,159600.0,151620.0
Eastleigh South,studio,30750.0,29212.0
Eastleigh South,one bedroom,41000.0,38950.0
Eastleigh South,two bedroom,59450.0,56478.0
Eastleigh South,three bedroom,86100.0,81795.0
Eastleigh South,townhouse,131200.0,124640.0
Eastleigh South,bungalow,155800.0,148010.0
Embakasi,studio,24000.0,22800.0
Embakasi,one bedroom,32000.0,30400.0
Embakasi,two bedroom,46400.0,44080.0
Embakasi,three bedroom,67200.0,63840.0
Embakasi,townhouse,102400.0,97280.0
Embakasi,bungalow,121600.0,115520.0
Gatina,studio,24000.0,22800.0
Gatina,one bedroom,32000.0,30400.0
Gatina,two bedroom,46400.0,44080.0
Gatina,three bedroom,67200.0,63840.0
Gatina,townhouse,102400.0,97280.0
Gatina,bungalow,121600.0,115520.0
Githurai,studio,24000.0,22800.0
Githurai,one bedroom,32000.0,30400.0
Githurai,two bedroom,46400.0,44080.0
Githurai,three bedroom,67200.0,63840.0
Githurai,townhouse,102400.0,97280.0
Githurai,bungalow,121600.0,115520.0
Harambee,studio,24000.0,22800.0
Harambee,one bedroom,32000.0,30400.0
Harambee,two bedroom,46400.0,44080.0
Harambee,three bedroom,67200.0,63840.0
Harambee,townhouse,102400.0,97280.0
Harambee,bungalow,121600.0,115520.0
Hospital,studio,13200.0,12540.0
Hospital,one bedroom,17600.0,16720.0
Hospital,two bedroom,25520.0,24244.0
Hospital,three bedroom,36960.0,35112.0
Hospital,townhouse,56320.0,53504.0
Hospital,bungalow,66880.0,63536.0
Huruma,studio,24000.0,22800.0
Huruma,one bedroom,32000.0,30400.0
Huruma,two bedroom,46400.0,44080.0
Huruma,three bedroom,67200.0,63840.0
Huruma,townhouse,102400.0,97280.0
Huruma,bungalow,121600.0,115520.0
Imara Daima,studio,29250.0,27788.0
Imara Daima,one bedroom,39000.0,37050.0
Imara Daima,two bedroom,56550.0,53722.0
Imara Daima,three bedroom,81900.0,77805.0
Imara Daima,townhouse,124800.0,118560.0
Imara Daima,bungalow,148200.0,140790.0
Kabiro,studio,24000.0,22800.0
Kabiro,one bedroom,32000.0,30400.0
Kabiro,two bedroom,46400.0,44080.0
Kabiro,three bedroom,67200.0,63840.0
Kabiro,townhouse,102400.0,97280.0
Kabiro,bungalow,121600.0,115520.0
Kahawa,studio,24000.0,22800.0
Kahawa,one bedroom,32000.0,30400.0
Kahawa,two bedroom,46400.0,44080.0
Kahawa,three bedroom,67200.0,63840.0
