ward,bungalow,one bedroom,studio,three bedroom,townhouse,two bedroom
Airbase,152000.0,40000.0,30000.0,84000.0,128000.0,58000.0
Babadogo,68400.0,18000.0,13500.0,37800.0,57600.0,26100.0
California,148200.0,39000.0,29250.0,81900.0,124800.0,56550.0
Claycity,98800.0,26000.0,19500.0,54600.0,83200.0,37700.0
Dandora Area I,87400.0,23000.0,17250.0,48300.0,73600.0,33350.0
Dandora Area Ii,87400.0,23000.0,17250.0,48300.0,73600.0,33350.0
Dandora Area Iii,87400.0,23000.0,17250.0,48300.0,73600.0,33350.0
Dandora Area Iv,83600.0,22000.0,16500.0,46200.0,70400.0,31900.0
Eastleigh North,155800.0,41000.0,30750.0,86100.0,131200.0,59450.0
Eastleigh South,152000.0,40000.0,30000.0,84000.0,128000.0,58000.0
Embakasi,102600.0,27000.0,20250.0,56700.0,86400.0,39150.0
Gatina,72200.0,19000.0,14250.0,39900.0,60800.0,27550.0
Githurai,106400.0,28000.0,21000.0,58800.0,89600.0,40600.0
Harambee,155800.0,41000.0,30750.0,86100.0,131200.0,59450.0
Hospital,64600.0,17000.0,12750.0,35700.0,54400.0,24650.0
Huruma,79800.0,21000.0,15750.0,44100.0,67200.0,30450.0
Imara Daima,144400.0,38000.0,28500.0,79800.0,121600.0,55100.0
Kabiro,68400.0,18000.0,13500.0,37800.0,57600.0,26100.0
Kahawa,121600.0,32000.0,24000.0,67200.0,102400.0,46400.0
Kahawa West,129200.0,34000.0,25500.0,71400.0,108800.0,49300.0
Kangemi,136800.0,36000.0,27000.0,75600.0,115200.0,52200.0
Karen,279300.0,73500.0,55125.0,154350.0,235200.0,106575.0
Kariobangi North,110200.0,29000.0,21750.0,60900.0,92800.0,42050.0
Kariobangi South,110200.0,29000.0,21750.0,60900.0,92800.0,42050.0
Karura,220400.0,58000.0,43500.0,121800.0,185600.0,84100.0
Kasarani,129200.0,34000.0,25500.0,71400.0,108800.0,49300.0
Kawangware,76000.0,20000.0,15000.0,42000.0,64000.0,29000.0
Kayole Central,102600.0,27000.0,20250.0,56700.0,86400.0,39150.0
Kayole North,102600.0,27000.0,20250.0,56700.0,86400.0,39150.0
Kayole South,102600.0,27000.0,20250.0,56700.0,86400.0,39150.0
Kiamaiko,76000.0,20000.0,15000.0,42000.0,64000.0,29000.0
Kileleshwa,239400.0,63000.0,47250.0,132300.0,201600.0,91350.0
Kilimani,247380.0,65100.0,48825.0,136710.0,208320.0,94395.0
Kitisuru,259350.0,68250.0,51188.0,143325.0,218400.0,98962.0
Komarock,117800.0,31000.0,23250.0,65100.0,99200.0,44950.0
Korogocho,57760.0,15200.0,11400.0,31920.0,48640.0,22040.0
Kwa Njenga,91200.0,24000.0,18000.0,50400.0,76800.0,34800.0
Kwa Reuben,91200.0,24000.0,18000.0,50400.0,76800.0,34800.0
Kware,87400.0,23000.0,17250.0,48300.0,73600.0,33350.0
Laini Saba,54150.0,14250.0,10688.0,29925.0,45600.0,20662.0
Landimawe,68400.0,18000.0,13500.0,37800.0,57600.0,26100.0
Lindi,57760.0,15200.0,11400.0,31920.0,48640.0,22040.0
Lower Savannah,95000.0,25000.0,18750.0,52500.0,80000.0,36250.0
Lucky Summer,114000.0,30000.0,22500.0,63000.0,96000.0,43500.0
