ward,typology,avg_rent_ksh,median_rent_ksh
Airbase Ward,studio,24000.0,22800.0
Airbase Ward,one bedroom,32000.0,30400.0
Airbase Ward,two bedroom,46400.0,44080.0
Airbase Ward,three bedroom,67200.0,63840.0
Airbase Ward,townhouse,102400.0,97280.0
Airbase Ward,bungalow,121600.0,115520.0
Baba Dogo Ward,studio,24000.0,22800.0
Baba Dogo Ward,one bedroom,32000.0,30400.0
Baba Dogo Ward,two bedroom,46400.0,44080.0
Baba Dogo Ward,three bedroom,67200.0,63840.0
Baba Dogo Ward,townhouse,102400.0,97280.0
Baba Dogo Ward,bungalow,121600.0,115520.0
California Ward,studio,24000.0,22800.0
California Ward,one bedroom,32000.0,30400.0
California Ward,two bedroom,46400.0,44080.0
California Ward,three bedroom,67200.0,63840.0
California Ward,townhouse,102400.0,97280.0
California Ward,bungalow,121600.0,115520.0
Clay City Ward,studio,24000.0,22800.0
Clay City Ward,one bedroom,32000.0,30400.0
Clay City Ward,two bedroom,46400.0,44080.0
Clay City Ward,three bedroom,67200.0,63840.0
Clay City Ward,townhouse,102400.0,97280.0
Clay City Ward,bungalow,121600.0,115520.0
Dandora Area I Ward,studio,24000.0,22800.0
Dandora Area I Ward,one bedroom,32000.0,30400.0
Dandora Area I Ward,two bedroom,46400.0,44080.0
Dandora Area I Ward,three bedroom,67200.0,63840.0
Dandora Area I Ward,townhouse,102400.0,97280.0
Dandora Area I Ward,bungalow,121600.0,115520.0
Dandora Area II Ward,studio,24000.0,22800.0
Dandora Area II Ward,one bedroom,32000.0,30400.0
Dandora Area II Ward,two bedroom,46400.0,44080.0
Dandora Area II Ward,three bedroom,67200.0,63840.0
Dandora Area II Ward,townhouse,102400.0,97280.0
Dandora Area II Ward,bungalow,121600.0,115520.0
Dandora Area III Ward,studio,24000.0,22800.0
Dandora Area III Ward,one bedroom,32000.0,30400.0
Dandora Area III Ward,two bedroom,46400.0,44080.0
Dandora Area III Ward,three bedroom,67200.0,63840.0
Dandora Area III Ward,townhouse,102400.0,97280.0
Dandora Area III Ward,bungalow,121600.0,115520.0
Dandora Area IV Ward,studio,24000.0,22800.0
Dandora Area IV Ward,one bedroom,32000.0,30400.0
Dandora Area IV Ward,two bedroom,46400.0,44080.0
Dandora Area IV Ward,three bedroom,67200.0,63840.0
Dandora Area IV Ward,townhouse,102400.0,97280.0
Dandora Area IV Ward,bungalow,121600.0,115520.0
Eastleigh North Ward,studio,31500.0,29925.0
Eastleigh North Ward,one bedroom,42000.0,39900.0
