ward,avg_rent_ksh,median_rent_ksh
Kitisuru Ward,14000.0,15000.0
Kilimani Ward,9000.0,10000.0
Mutuini Ward,9000.0,10000.0
Karen Ward,9000.0,10000.0
Laini Saba Ward,9000.0,10000.0
Githurai Ward,9000.0,10000.0
Clay City Ward,9000.0,10000.0
Baba Dogo Ward,9000.0,10000.0
Kwa Njenga Ward,6000.0,7000.0
Kariobangi North Ward,6000.0,7000.0
Kayole North Ward,6000.0,7000.0
Upper Savannah Ward,6000.0,7000.0
Umoja I Ward,6000.0,7000.0
Maringo/Hamza Ward,9000.0,10000.0
Pumwani Ward,9000.0,10000.0
Nairobi South Ward,9000.0,10000.0
Mabatini Ward,8083.33,10000.0
